State,Abbreviation,Status
Alaska,AK,Yes
Alabama,AL,Yes
Arkansas,AR,Yes
Arizona,AZ,Yes
California,CA,Yes
Colorado,CO,
Connecticut,CT,Yes
District of Columbia,DC,
Delaware,DE,Yes
Florida,FL,Yes
Georgia,GA,Yes
Hawaii,HI,
Iowa,IA,Yes
Idaho,ID,Yes
Illinois,IL,
Indiana,IN,Yes
Kansas,KS,
Kentucky,KY,Yes
Louisiana,LA,Yes
Massachusetts,MA,
Maryland,MD,
Maine,ME,
Michigan,MI,
Minnesota,MN,
Missouri,MO,
Mississippi,MS,Yes
Montana,MT,
North Carolina,NC,Yes
North Dakota,ND,
Nebraska,NE,
New Hampshire,NH,
New Jersey,NJ,
New Mexico,NM,
Nevada,NV,Yes
New York,NY,Yes
Ohio,OH,
Oklahoma,OK,
Oregon,OR,
Pennsylvania,PA,
Rhode Island,RI,
South Carolina,SC,Yes
South Dakota,SD,
Tennessee,TN,Yes
Texas,TX,Yes 2
Utah,UT,
Virginia,VA,Yes
Vermont,VT,
Washington,WA,
Wisconsin,WI,Yes
West Virginia,WV,Yes
Wyoming,WY,